woord,frequency
flanks,1
plotting,1
begging,1
ungrudging,1
bows,1
learning,1
wage,1
repeating,1
advantage,1
mygdon,1
necks,1
hush,1
exact,1
blaze,1
simple,1
nowhere,1
show,1
thessalian,1
rings,1
town,1
nest,1
trap,1
victors,1
embassy,1
waters,1
spirit,1
causing,1
rending,1
spoil,1
fame,1
cilicians,1
put,1
wit,1
treasure,1
throatcutting,1
walk,1
increase,1
thetis,1
decent,1
expecting,1
possible,1
brow,1
grotto,1
pride,1
smiles,1
sterner,1
seven,1
birth,1
inspect,1
euxine,1
assign,1
headsmans,1
newshed,1
mysians,1
bespattered,1
tarried,1
feigning,1
loxias,1
sheepfold,1
horntipped,1
dashed,1
sake,1
mischief,1
divine,1
volunteers,1
lie,1
drops,1
onslaught,1
hour,1
encamped,1
almighty,1
straight,1
scout,1
steading,1
hapless,1
carousals,1
destroying,1
feast,1
sits,1
greet,1
fatherland,1
presents,1
fearless,1
sooner,1
whips,1
acts,1
reportexit,1
conjecture,1
ditches,1
wolfskin,1
powerful,1
tries,1
claim,1
pledging,1
prop,1
destiny,1
bitterly,1
efforts,1
confidence,1
shrill,1
cronion,1
truth,1
wane,1
line,1
attire,1
sparta,1
figures,1
heavenly,1
（with,1
success,1
metrojans,1
afflicted,1
enemies,1
expect,1
havoc,1
sumptuous,1
coward,1
nearexeunt,1
stood,1
harsh,1
sacking,1
asserts,1
plumage,1
rattle,1
spied,1
scythian,1
himself,1
prevailed,1
wagon,1
promise,1
europas,1
fury,1
bronze,1
charms,1
ears,1
backs,1
shudder,1
achieved,1
earlier,1
altar,1
cairn,1
range,1
linked,1
sheep,1
adopt,1
patriot,1
slip,1
born,1
kill,1
sky,1
strength,1
fairer,1
inferiors,1
noisy,1
cities,1
less,1
knights,1
receiving,1
empire,1
tower,1
allfours,1
weapons,1
ocean,1
proudly,1
killed,1
lines,1
deified,1
broad,1
manifest,1
awaits,1
swiftfooted,1
idas,1
shine,1
subtle,1
ordained,1
stir,1
sends,1
heavy,1
temple,1
singing,1
sprinkle,1
guidance,1
goal,1
quiver,1
spite,1
safely,1
draws,1
pallas,1
free,1
thraces,1
hellene,1
firstfruits,1
appearance,1
last,1
phrygias,1
slunk,1
planting,1
pangaeum,1
remember,1
champion,1
desire,1
announce,1
urgently,1
traversing,1
obedience,1
move,1
troubled,1
warm,1
offend,1
wrung,1
happening,1
trampled,1
try,1
wandering,1
soon,1
cursed,1
clothe,1
white,1
overreach,1
shoulders,1
undermine,1
aeacus,1
deity,1
star,1
object,1
