woord,frequency
theban,2
elders,2
spirit,2
pytho,2
terror,2
healer,2
holy,2
wondering,2
unknown,2
immortal,2
daughter,2
sister,2
artemis,2
guardian,2
sits,2
throne,2
pest,2
stop,2
rushing,2
grow,2
shriek,2
lie,2
mourn,2
young,2
wives,2
wail,2
ring,2
lamentation,2
borne,2
favorable,2
wind,2
chamber,2
haven,2
working,2
lightning,2
bent,2
gold,2
hills,2
bound,2
named,2
bacchants,2
loyal,2
declare,2
afraid,2
alien,2
keep,2
thanks,2
besides,2
keeps,2
resident,2
shelter,2
address,2
share,2
knowing,2
shown,2
horrible,2
deserves,2
unblest,2
urged,2
fit,2
stone,2
obey,2
womb,2
justice,2
third,2
twice,2
rumors,2
prophet,2
led,2
told,2
unspeakable,2
protector,2
defiled,2
noblest,2
wisdom,2
burden,2
strange,2
grieve,2
itself,2
seem,2
performing,2
decree,2
living,2
wretch,2
utter,2
keeping,2
surpassing,2
keen,2
gift,2
stealth,2
yearning,2
song,2
free,2
riddle,2
seers,2
discovered,2
stopped,2
attained,2
influence,2
reply,2
dreadful,2
harbor,2
meaning,2
level,2
endured,2
instant,2
opinion,2
wait,2
reproach,2
saved,2
vex,2
performed,2
errand,2
uttering,2
staff,2
horrors,2
foot,2
central,2
shrine,2
forever,2
around,2
moves,2
attains,2
maiden,2
welcome,2
point,2
scope,2
traitor,2
counsels,2
ward,2
prize,2
win,2
explain,2
very,2
sense,2
violence,2
count,2
mention,2
certainly,2
lack,2
insight,2
fill,2
allows,2
reason,2
weigh,2
sound,2
attain,2
everything,2
pleasure,2
misguided,2
request,2
up,2
random,2
casting,2
taking,2
await,2
lost,2
believe,2
interest,2
raised,2
argument,2
ashamed,2
beg,2
respect,2
worst,2
dishonored,2
move,2
steadfast,2
pure,2
speaking,2
meet,2
pinned,2
mountain,2
feared,2
regard,2
easily,2
spot,2
passed,2
events,2
ripe,2
hair,2
tremble,2
fears,2
herald,2
ruling,2
return,2
delay,2
easy,2
claim,2
merope,2
regarding,2
spread,2
brood,2
sired,2
straight,2
blow,2
slew,2
tie,2
kinship,2
citizen,2
vile,2
utterly,2
cruel,2
divinity,2
prevent,2
brand,2
spoke,2
fetch,2
peasant,2
destiny,2
range,2
parent,2
mighty,2
chorusbut,2
illstarred,2
pride,2
sacred,2
dance,2
fingers,2
prophecies,2
strangers,2
dwelling,2
blessed,2
aged,2
tomb,2
sickness,2
lived,2
wed,2
alive,2
returning,2
lest,2
pollution,2
loved,2
won,2
bought,2
regions,2
hour,2
happen,2
fail,2
anguish,2
patience,2
illfated,2
miserable,2
rushes,2
break,2
womans,2
origin,2
spring,2
looking,2
fold,2
asks,2
earthly,2
honored,2
mens,2
couch,2
asking,2
hanging,2
eyeballs,2
looked,2
gates,2
gaze,2
hurry,2
lot,2
lovely,2
rites,2
sea,2
attendants,2
ages,1
seated,1
robes,1
gazes,1
silently,1
groups,1
latestborn,1
wards,1
reeks,1
rings,1
health,1
unbefitting,1
mouths,1
mood,1
hardhearted,1
nestlings,1
tender,1
bowed,1
priests,1
chosen,1
youth,1
pallas,1
ismenus,1
sorely,1
blight,1
fruitful,1
blossoms,1
herds,1
flaming,1
malign,1
ravages,1
enriches,1
groans,1
fortunes,1
dealings,1
divinities,1
tax,1
songstress,1
assistance,1
uplifted,1
beseech,1
defence,1
councils,1
experienced,1
effect,1
uplift,1
fame,1
calls,1
reign,1
restored,1
falls,1
provided,1
wasteland,1
walled,1
empty,1
piteous,1
desires,1
awakening,1
wept,1
wandered,1
wide,1
remedy,1
close,1
consideration,1
relative,1
residence,1
protect,1
lapse,1
reckoned,1
troubled,1
unreasonably,1
arrives,1
opportunely,1
indicate,1
drawing,1
brightness,1
saving,1
thickly,1
berryladen,1
bay,1
hearingrange,1
perfect,1
issue,1
encourage,1
frighten,1
ready,1
inside,1
commands,1
harbored,1
nourish,1
healed,1
sort,1
purification,1
manner,1
misfortune,1
banishing,1
paying,1
tempest,1
assumed,1
bids,1
murderers,1
dim,1
track,1
crime,1
escapes,1
field,1
mission,1
travelling,1
companion,1
fled,1
assurance,1
beginning,1
fell,1
intrigue,1
worked,1
bribes,1
bold,1
surmised,1
avenger,1
midst,1
prevented,1
riddling,1
sphinx,1
obscure,1
pressing,1
start,1
afresh,1
bestowed,1
allied,1
dispel,1
taint,1
faroff,1
avenging,1
altarsteps,1
boughs,1
summon,1
warning,1
untried,1
promises,1
accord,1
deliverer,1
sweetlyspeaking,1
rack,1
shakes,1
delian,1
debt,1
extract,1
renewed,1
revolving,1
chorusfirst,1
athena,1
circle,1
farshooting,1
shine,1
threefold,1
drove,1
borders,1
chorusalas,1
countless,1
weapon,1
defense,1
fruits,1
surmount,1
bird,1
wing,1
swifter,1
irresistible,1
shore,1
western,1
choruswith,1
deaths,1
numbering,1
perishes,1
unpitied,1
spreading,1
meanwhile,1
greyhaired,1
raise,1
groan,1
supplication,1
bronze,1
shields,1
battle,1
wraps,1
flames,1
onset,1
speedy,1
amphitrite,1
thracian,1
waters,1
leaves,1
undone,1
destruction,1
follows,1
accomplish,1
wield,1
thunderbolt,1
choruslycean,1
shafts,1
bows,1
string,1
woven,1
champions,1
flashing,1
fires,1
darts,1
lycian,1
locks,1
ruddy,1
bacchus,1
draw,1
blaze,1
shining,1
torch,1
unhonored,1
reception,1
minister,1
disease,1
relief,1
publicly,1
trail,1
tracing,1
counted,1
thebans,1
proclaim,1
remove,1
danger,1
indictment,1
denouncing,1
punishment,1
unhurt,1
assassin,1
reward,1
screen,1
orders,1
partner,1
sacrifice,1
lustral,1
rite,1
ban,1
houses,1
recently,1
solemnly,1
partners,1
wear,1
unfruitful,1
ungodly,1
unpunished,1
searched,1
possessing,1
unsuccessful,1
tied,1
bond,1
uphold,1
unturned,1
polydorus,1
elder,1
agenor,1
harvest,1
fruit,1
worse,1
satisfied,1
gracious,1
investigation,1
enjoined,1
investigator,1
neglected,1
suggestion,1
apart,1
faint,1
